CHARMING,HOÀNG TỬ HÀO HOA,20/4/2018,93,en,"Demi Lovato, Wilmer Valderrama, Sia",Ross Venokur,"Bộ phim mang đến cho khán giả một câu chuyện mới, một góc nhìn cực kỳ thú vị, sáng tạo và chưa bao giờ được kể của ba cô gái xinh đẹp trong xứ sở thần tiên nổi tiếng: Bạch Tuyết, Lọ Lem và Công Chúa Ngủ Trong Rừng. Một ngày nọ cả ba khám phá ra rằng những vị hôn phu mà các cô đính hôn thật ra đều là cùng một người đó là Hoàng Tử Charming. Bên cạnh đó còn có hàng triệu cô gái trong vương quốc thầm thương trộm nhớ muốn trở thành vợ của Hoàng Tử.

Sự cố này xảy ra do hoàng tử bị một lời nguyền có bản tính đào hoa từ khi lọt lòng, nếu không phá được lời nguyền tất cả đàn ông trong vương quốc bị cướp vợ và người yêu sẽ nổi loạn và đó cung sẽ là ngày tàn của vương quốc. Trước tình hình đó, đức vua King Charming đã đưa cho Hoàng Tử một tối hậu thư: tìm được tình yêu đích thực của mình trước ngày sinh nhật thứ 21 của minh để phá giải lời nguyền hoặc mất hết thân phận cũng như không được trờ thành người kế vị.",coming,G,https://www.galaxycine.vn/media/2018/3/30/rfer_1522382575787.jpg,,Fantasy/Musical
DUCK DUCK GOOSE,NGỖNG VỊT PHIÊU LƯU KÝ,25/4/2018,105,cn,"Jim Gaffigan, Zendaya, Lance Lim",Christopher Jenkins,"Peng là một chú ngỗng độc thân thích sống mà không theo kế hoạch. Cậu nghĩ mình giỏi hơn bất kỳ ai và luôn dành thời gian cho những cuộc đua tốc độ điên cuồng. Một lần khi đang bay, Peng rơi trúng một đàn vịt và khiến hai anh em Chao – Chi bị tách khỏi bầy.

Từ đây, một hành trình mới bắt đầu với nhiều tình huống dở khóc dở cười xảy ra.
",coming,G,https://www.galaxycine.vn/media/2018/4/9/duck2_1523257457132.jpg,,Adventure/Comedy
"LOVE, SIMON","THƯƠNG MẾN, SIMON",4/5/2018,134,en,"Nick Robinson, Jennifer Garner, Josh Duhamel",Greg Berlanti,"Love, Simon là tác phẩm có đề tài LGBT nổi bật nhất đầu năm 2018. Bộ phim được chuyển thể từ quyển sách đình đám Simon vs. the Homo Sapiens Agenda, từng được tờ Wall Street Journal đánh giá là một trong những cuốn tiểu thuyết hay nhất dành cho thiếu niên.

Phim tập trung khai thác đề tài đồng tính nam dưới góc nhìn trong sáng, lãng mạn và giàu cảm xúc. Love, Simon hiện nhận được nhiều lời khen ngợi từ các nhà phê bình danh tiếng và các chuyên trang điện ảnh uy tín nhất.",coming,PG-13,https://www.galaxycine.vn/media/2018/4/18/love-simon-1-2_1524045401998.jpg,,Drama/Romance
DEADPOOL 2,,18/5/2018,129,en,"Ryan Reynolds, Morena Baccarin, Gina Carano",David Leitch,"Sau khi suýt chết, gã phản anh hùng Deadpool của chúng ta (Wade Wilson) theo đuổi giấc mơ trở thành người pha chế rượu nóng bỏng nhất của Mayberry đồng thời học cách đối mặt với sự thiếu thốn giác quan của mình. Để tìm lại gia vị cuộc sống, Wade chiến đấu với ninja, băng đảng xã hội đen và một tá nọc đọc quyến rũ khác trong cuộc phiêu lưu khắp thế giới của mình. Trong cuộc phiêu lưu này, anh sẽ khám phá được tầm quan trọng của gia đình, tình bạn.

Phần 2 của siêu phẩm Deadpool được ghi hình tại những địa điểm đẹp nhất Canada, hứa hẹn là quả bom bùng nổ các rạp chiếu phim mùa hè 2018!",coming,R,https://www.galaxycine.vn/media/2018/4/6/deadpool2_1523005201941.jpg,,Fantasy/Action
SLENDER MAN,,18/5/2018,142,en,"Joey King, Julia Goldani Telles, Annalise Basso",Sylvain White,"Slender Man kể về một nhân vật kinh dị có hình dáng đáng sợ với cánh tay dài ngoằng, khuôn mặt trắng toát và đặc biệt là hắn có khả năng xâm nhập tâm trí con người.
Nội dung của phim được thực hiện dựa trên một sự việc có thật xảy ra vào ngày 10.06.2009, từ một bức ảnh đen trắng chụp một kẻ bắt cóc trẻ em với tạo hình kỳ dị đã tạo nên một cơn sốt trong khắp dư luận.
",coming,R,https://www.galaxycine.vn/media/2018/1/4/slender-man---teaser_1515041391634.jpg,,Horror
TRUTH OR DARE,TRUTH OR DARE: CHƠI HAY CHẾT,11/5/2018,87,en,"Lucy Hale, Tyler Posey, Violett Beane",Jeff Wadlow,"Trò chơi tưởng chừng như vô hại – Truth or Dare (Thật hay Thách) – trở thành trở thành “kẻ giết người” khi các thành viên trong nhóm bạn lần lượt bị sát hại bởi một ai đó hoặc thứ gì đó, ngay cả khi họ từ bỏ trò chơi.",coming,PG-13,https://www.galaxycine.vn/media/2018/4/16/truthordare_1523849925450.jpg,,Thriller/Horror
DEATH WISH,,4/5/2018,108,en,"Bruce Willis, Vincent D'Onofrio, Elisabeth Shue",Eli Roth,"Được MGM làm lại dựa trên bộ phim gốc cùng tên năm 1974, nội dung phim tập trung vào Paul Kersey (Bruce Willis vào vai), một bác sĩ phẫu thuật sống tại Chicago, người đã nhận thấy thành phố nơi ông đang sinh sống luôn bị bao trùm bởi những hành động bạo lực và phi nhân tính mà trong đó vợ và cô con gái của Paul cũng là nạn nhân. Lực lượng cảnh sát không thể khống chế được hết những tên tội phạm trong thành phố, vậy nên đây chính là lúc Paul trả thù và làm người hùng.
",coming,PG-13,https://www.galaxycine.vn/media/2018/2/22/dw300_1519283565582.jpg,,Drama/Crime
INCREDIBLE 2,,15/6/2018,145,en,"Samuel L. Jackson, Holly Hunter, Catherine Keener",Brad Bird,"Gia đình siêu nhân 2 kể về những cuộc phiêu lưu của gia đình siêu nhân Parrs. Nhà Parrs bao gồm bố Bob, còn được b`iết tới là Mr. Incredible có sức khỏe phi thường, Helen, vợ của Bob, hay Elastic Girl có khả năng co giãn cơ thể. Và con của họ: Violet có khả năng tàng hình và tạo ra trường bảo vệ, Dash với khả năng chạy siêu nhanh và Jack-Jack có khả năng biến đổi thành nhiều dạng khác nhau. Phần hai của phim tiếp nối sát nội dung của phần một, ngay khi cả gia đình chạm trán Undermine.",coming,G,https://www.galaxycine.vn/media/2018/4/18/r-theincredibles2-header-e017131b_1524022479020.jpeg,,Action/Adventure
ANT-MAN AND THE WASP,,6/7/2018,122,en,"Paul Rudd, Evangeline Lilly, Michelle Pfeiffer",Peyton Reed,"Hậu ""Captain America: Civil War"", Scott Lang phải đấu tranh để cân bằng cuộc sống gia đình với trách nhiệm là Ant-Man. Anh gặp Hope van Dyne và Tiến sĩ Hank Pym với một nhiệm vụ mới cấp bách: học cách chiến đấu cùng với The Wasp để khám phá bí mật quá khứ của hai người.
",coming,PG-13,https://www.galaxycine.vn/media/m/v/mv5bnwm4mwexotutndk1ms00ymrhlwi0nzitzmy3mde2zjzkogiwxkeyxkfqcgdeqxvyntayodkwoq@@.jpg,,Fantasy/Sci-Fi
JURASSIC WORLD: FALLEN KINGDOM,,8/6/2018,133,en,"Bryce Dallas Howard, Chris Pratt, Jeff Goldblum",J.A. Bayona,"Khi tiến hành chiến dịch giải cứu những con khủng long khỏi tuyệt chủng vì thảm họa núi lửa, nhóm thám hiểm vô tình khám phá ra một âm mưu có thể khiến toàn bộ hành tinh đối mặt với một hiểm họa to lớn chưa từng thấy kể từ thời tiền sử.

Bốn năm sau thảm họa Công Viên kỷ Jura bị hủy diệt. Một vài con khủng long vẫn còn sống sót trong rừng trong khi Isla Nublar bị con người bỏ hoang. Lúc này, ngọn núi lửa tại vùng đất này bất ngờ hoạt động lại. Owen (Chris Pratt) và Claire (Bryce Dallas Howard) quyết định tiến hành chiến dịch giải cứu những con khủng long để cứu chúng khỏi nguy cơ tuyệt chủng. Không ngờ rằng, trong hành trình giải cứu những sinh vật khổng lồ này, họ phát hiện ra một bí mật kinh người, có thể gây diệt vong cho Trái Đất.
",coming,PG-13,https://www.galaxycine.vn/media/2018/1/16/a_1516092694568.jpg,,Sci-Fi/Action
MISSION: IMPOSSIBLE - FALLOUT,,27/7/2018,144,en,"Tom Cruise, Rebecca Ferguson, Vanessa Kirby",Christopher McQuarrie,"Với những hình ảnh được hé lộ gần đây, MISSION: IMPOSSIBLE - FALLOUT được trang mạng Collider nhận định là phần phim hấp dẫn nhất trong cả loạt phim. Để hoàn thiện và ra mắt trong mùa phim hè 2018, bộ phim từng gặp nhiều gián đoạn, đặc biệt là khi Tom Cruise bị thương nặng trên trường quay.",coming,PG,https://www.galaxycine.vn/media/2018/2/5/300_1517827517048.jpg,,Thriller/Action
,,,,,,,,,,,,Sci-Fi/Action
